tweet_id, created_at, retweet_count, favorite_count
796125600683540480,2016-11-08 23:01:49+00:00,1724,4822
796116448414461957,2016-11-08 22:25:27+00:00,2302,8796
796080075804475393,2016-11-08 20:00:55+00:00,2210,8171
796031486298386433,2016-11-08 16:47:50+00:00,3577,10467
795464331001561088,2016-11-07 03:14:10+00:00,22449,47723
795400264262053889,2016-11-06 22:59:35+00:00,2741,9704
795076730285391872,2016-11-06 01:33:58+00:00,5203,15662
794983741416415232,2016-11-05 19:24:28+00:00,3219,0
794926597468000259,2016-11-05 15:37:24+00:00,2202,9889
794355576146903043,2016-11-04 01:48:22+00:00,9848,0
794332329137291264,2016-11-04 00:15:59+00:00,2585,9315
794205286408003585,2016-11-03 15:51:10+00:00,3180,8944
793962221541933056,2016-11-02 23:45:19+00:00,4677,16249
793845145112371200,2016-11-02 16:00:06+00:00,1783,8938
793614319594401792,2016-11-02 00:42:53+00:00,2998,0
793601777308463104,2016-11-01 23:53:02+00:00,1548,7725
793500921481273345,2016-11-01 17:12:16+00:00,2278,10323
793286476301799424,2016-11-01 03:00:09+00:00,8766,23775
793271401113350145,2016-11-01 02:00:14+00:00,2301,8421
793256262322548741,2016-11-01 01:00:05+00:00,7981,19306
793241302385262592,2016-11-01 00:00:38+00:00,3151,10165
793226087023144960,2016-10-31 23:00:11+00:00,2767,9472
793210959003287553,2016-10-31 22:00:04+00:00,2667,8633
793195938047070209,2016-10-31 21:00:23+00:00,5381,14721
793180763617361921,2016-10-31 20:00:05+00:00,1915,6698
793165685325201412,2016-10-31 19:00:10+00:00,2671,9072
793150605191548928,2016-10-31 18:00:14+00:00,1625,5958
793135492858580992,2016-10-31 17:00:11+00:00,2405,6206
793120401413079041,2016-10-31 16:00:13+00:00,3752,12235
792913359805018113,2016-10-31 02:17:31+00:00,3790,13841
792883833364439040,2016-10-31 00:20:11+00:00,4085,10932
792773781206999040,2016-10-30 17:02:53+00:00,1617,7138
792394556390137856,2016-10-29 15:55:58+00:00,4101,12975
792050063153438720,2016-10-28 17:07:05+00:00,1703,6896
791821351946420224,2016-10-28 01:58:16+00:00,20174,0
791784077045166082,2016-10-27 23:30:09+00:00,9102,0
791780927877898241,2016-10-27 23:17:38+00:00,3652,0
791774931465953280,2016-10-27 22:53:48+00:00,21213,43518
791672322847637504,2016-10-27 16:06:04+00:00,2998,11388
791406955684368384,2016-10-26 22:31:36+00:00,3939,12728
791312159183634433,2016-10-26 16:14:55+00:00,2419,8478
791026214425268224,2016-10-25 21:18:40+00:00,3896,0
790987426131050500,2016-10-25 18:44:32+00:00,2039,9489
790946055508652032,2016-10-25 16:00:09+00:00,4476,16165
790723298204217344,2016-10-25 01:14:59+00:00,2202,0
790698755171364864,2016-10-24 23:37:28+00:00,1841,7961
790581949425475584,2016-10-24 15:53:19+00:00,6796,19943
790337589677002753,2016-10-23 23:42:19+00:00,1808,7587
790277117346975746,2016-10-23 19:42:02+00:00,3027,12151
790227638568808452,2016-10-23 16:25:25+00:00,3390,0
789986466051088384,2016-10-23 00:27:05+00:00,2202,8974
789960241177853952,2016-10-22 22:42:52+00:00,3922,0
789903600034189313,2016-10-22 18:57:48+00:00,3953,9972
789628658055020548,2016-10-22 00:45:17+00:00,1684,7225
789599242079838210,2016-10-21 22:48:24+00:00,1838,6511
789530877013393408,2016-10-21 18:16:44+00:00,3219,11329
789314372632018944,2016-10-21 03:56:25+00:00,2185,8345
789280767834746880,2016-10-21 01:42:53+00:00,4679,0
789268448748703744,2016-10-21 00:53:56+00:00,2497,8822
789137962068021249,2016-10-20 16:15:26+00:00,2666,9400
788908386943430656,2016-10-20 01:03:11+00:00,11932,26534
788765914992902144,2016-10-19 15:37:03+00:00,9848,26424
788552643979468800,2016-10-19 01:29:35+00:00,6811,0
788412144018661376,2016-10-18 16:11:17+00:00,5033,15011
788178268662984705,2016-10-18 00:41:57+00:00,2012,7019
788150585577050112,2016-10-17 22:51:57+00:00,1222,5908
788070120937619456,2016-10-17 17:32:13+00:00,3274,0
788039637453406209,2016-10-17 15:31:05+00:00,1255,5919
787810552592695296,2016-10-17 00:20:47+00:00,2902,8305
787717603741622272,2016-10-16 18:11:26+00:00,2643,9896
787397959788929025,2016-10-15 21:01:17+00:00,2729,10524
787322443945877504,2016-10-15 16:01:13+00:00,1657,7535
787111942498508800,2016-10-15 02:04:45+00:00,6428,0
786963064373534720,2016-10-14 16:13:10+00:00,7609,25759
786729988674449408,2016-10-14 00:47:00+00:00,2320,0
786709082849828864,2016-10-13 23:23:56+00:00,5854,17662
786664955043049472,2016-10-13 20:28:35+00:00,2415,10221
786595970293370880,2016-10-13 15:54:28+00:00,2999,9167
786363235746385920,2016-10-13 00:29:39+00:00,3302,10481
786286427768250368,2016-10-12 19:24:27+00:00,2701,7689
786233965241827333,2016-10-12 15:55:59+00:00,4488,14694
786051337297522688,2016-10-12 03:50:17+00:00,151,1376
786036967502913536,2016-10-12 02:53:11+00:00,6640,0
785927819176054784,2016-10-11 19:39:28+00:00,3058,11014
785872687017132033,2016-10-11 16:00:24+00:00,1706,6466
785639753186217984,2016-10-11 00:34:48+00:00,2141,7598
785533386513321988,2016-10-10 17:32:08+00:00,1882,8760
785515384317313025,2016-10-10 16:20:36+00:00,1198,5917
785264754247995392,2016-10-09 23:44:41+00:00,1553,7015
785170936622350336,2016-10-09 17:31:53+00:00,4589,11594
784826020293709826,2016-10-08 18:41:19+00:00,3077,9746
784517518371221505,2016-10-07 22:15:26+00:00,2404,8651
784431430411685888,2016-10-07 16:33:21+00:00,1212,5535
784183165795655680,2016-10-07 00:06:50+00:00,7642,19325
784057939640352768,2016-10-06 15:49:14+00:00,10568,28671
783839966405230592,2016-10-06 01:23:05+00:00,10276,28896
783821107061198850,2016-10-06 00:08:09+00:00,1866,7110
783695101801398276,2016-10-05 15:47:27+00:00,3059,10067
783466772167098368,2016-10-05 00:40:09+00:00,2129,8132
783391753726550016,2016-10-04 19:42:03+00:00,5197,16288
783347506784731136,2016-10-04 16:46:14+00:00,5272,0
783334639985389568,2016-10-04 15:55:06+00:00,11106,28021
783085703974514689,2016-10-03 23:25:55+00:00,2070,7865
782969140009107456,2016-10-03 15:42:44+00:00,7016,23272
782747134529531904,2016-10-03 01:00:34+00:00,1344,7212
782722598790725632,2016-10-02 23:23:04+00:00,5120,16618
782598640137187329,2016-10-02 15:10:30+00:00,1793,7527
782305867769217024,2016-10-01 19:47:08+00:00,5253,16004
782021823840026624,2016-10-01 00:58:26+00:00,5880,0
781955203444699136,2016-09-30 20:33:43+00:00,3195,10761
781661882474196992,2016-09-30 01:08:10+00:00,2580,10063
781655249211752448,2016-09-30 00:41:48+00:00,1078,3848
781524693396357120,2016-09-29 16:03:01+00:00,5256,19977
781308096455073793,2016-09-29 01:42:20+00:00,2432,6872
781251288990355457,2016-09-28 21:56:36+00:00,1974,8087
781163403222056960,2016-09-28 16:07:23+00:00,2627,9448
780931614150983680,2016-09-28 00:46:20+00:00,6911,20855
780858289093574656,2016-09-27 19:54:58+00:00,1909,6922
780800785462489090,2016-09-27 16:06:28+00:00,1228,5276
780601303617732608,2016-09-27 02:53:48+00:00,3182,11645
780543529827336192,2016-09-26 23:04:13+00:00,1661,6059
